photo_group,source_images,category,denomination,country,year,mint_mark,design_variety,diameter_mm,weight_g,composition,edge,obverse_text,reverse_text,condition_notes,qty,est_value_low_usd,est_value_high_usd,value_basis,confidence,notes,crop_file,annotated_file,box_id,rare_candidate,rare_reason,visual_flag,visual_flag_reason
Cent grid c3r4,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1982,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1982,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c3r4.jpg,annotated/IMG_1209.jpeg,grid_c3r4,,,,
Cent grid c3r5,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1962,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1962,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,Partially obscured by neighboring coin in this crop.,IMG_1209_grid_c3r5.jpg,annotated/IMG_1209.jpeg,grid_c3r5,,,,
Cent grid c4r1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1972,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1972,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c4r1.jpg,annotated/IMG_1209.jpeg,grid_c4r1,,,,
Cent grid c4r2,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1982,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1982,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c4r2.jpg,annotated/IMG_1209.jpeg,grid_c4r2,,,,
Cent grid c4r3,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1961,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1961,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,,IMG_1209_grid_c4r3.jpg,annotated/IMG_1209.jpeg,grid_c4r3,,,,
Cent grid c4r4,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1976,D,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1976,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c4r4.jpg,annotated/IMG_1209.jpeg,grid_c4r4,,,,
Cent grid c4r5,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1980,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1980,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c4r5.jpg,annotated/IMG_1209.jpeg,grid_c4r5,,,,
Cent grid c5r1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1970,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1970,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,,IMG_1209_grid_c5r1.jpg,annotated/IMG_1209.jpeg,grid_c5r1,,,,
Cent grid c5r2,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1969,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1969,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c5r2.jpg,annotated/IMG_1209.jpeg,grid_c5r2,,,,
Cent grid c5r3,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1972,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1972,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,,IMG_1209_grid_c5r3.jpg,annotated/IMG_1209.jpeg,grid_c5r3,,,,
Cent grid c5r4,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1966,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1966,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c5r4.jpg,annotated/IMG_1209.jpeg,grid_c5r4,,,,
Cent grid c5r5,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Worn, date not legible.",IMG_1209_grid_c5r5.jpg,annotated/IMG_1209.jpeg,grid_c5r5,,,,
Cent grid c6r1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1982,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1982,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c6r1.jpg,annotated/IMG_1209.jpeg,grid_c6r1,,,,
Cent grid c6r2,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1982,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1982,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c6r2.jpg,annotated/IMG_1209.jpeg,grid_c6r2,,,,
Cent grid c6r3,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Worn, date not legible.",IMG_1209_grid_c6r3.jpg,annotated/IMG_1209.jpeg,grid_c6r3,,,,
Cent grid c6r4,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1989,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1989,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c6r4.jpg,annotated/IMG_1209.jpeg,grid_c6r4,,,,
Cent grid c6r5,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,Worn/obscured by neighboring coin.,IMG_1209_grid_c6r5.jpg,annotated/IMG_1209.jpeg,grid_c6r5,,,,
Cent grid c7r1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1973,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1973,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,,IMG_1209_grid_c7r1.jpg,annotated/IMG_1209.jpeg,grid_c7r1,,,,
Cent grid c7r2,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1965,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1965,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,,IMG_1209_grid_c7r2.jpg,annotated/IMG_1209.jpeg,grid_c7r2,,,,
Cent grid c7r3,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Dark and worn, date not legible.",IMG_1209_grid_c7r3.jpg,annotated/IMG_1209.jpeg,grid_c7r3,,,,
Cent grid c7r4,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1969,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1969,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",medium,,IMG_1209_grid_c7r4.jpg,annotated/IMG_1209.jpeg,grid_c7r4,,,,
Cent grid c7r5,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1976,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1976,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",high,,IMG_1209_grid_c7r5.jpg,annotated/IMG_1209.jpeg,grid_c7r5,,,,
Cent grid c8r1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Dark and worn, date not legible.",IMG_1209_grid_c8r1.jpg,annotated/IMG_1209.jpeg,grid_c8r1,,,,
Cent grid c8r2,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Dark and worn, date not legible.",IMG_1209_grid_c8r2.jpg,annotated/IMG_1209.jpeg,grid_c8r2,,,,
Cent grid c8r3,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Dark and worn, date not legible.",IMG_1209_grid_c8r3.jpg,annotated/IMG_1209.jpeg,grid_c8r3,,,,
Cent grid c8r4,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Underexposed/dark, date not legible.",IMG_1209_grid_c8r4.jpg,annotated/IMG_1209.jpeg,grid_c8r4,,,,
Cent grid c8r5,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,"Dark and worn, date not legible.",IMG_1209_grid_c8r5.jpg,annotated/IMG_1209.jpeg,grid_c8r5,,,,
Cent grid extra1,"IMG_1209, IMG_1210, IMG_1211",Circulating Cent,1 cent,USA,1980,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1980,Lincoln Memorial building / ONE CENT / UNITED STATES OF AMERICA,From the ~40-coin hand-laid grid photographed in IMG_1209 (also re-photographed at the same angle in IMG_1210/1211 - not re-boxed there since it's the same physical layout),1,0.01,0.25,"Face value for common-date memorial cents; wheat cents (1909-1958) are worth a modest premium (~$0.05-$0.25 common dates) unless a key date, which can be worth $20 to thousands",low,This crop's dominant coin looks like the SAME 1980 cent captured in grid_c4r5 (the two boxes are adjacent/overlapping) - likely not a distinct 42nd physical coin. Treat as a duplicate view unless a physical recount says otherwise.,IMG_1209_grid_extra1.jpg,annotated/IMG_1209.jpeg,grid_extra1,,,,
Pile p01,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1982,not legible in photo,Lincoln Memorial cent,19.05,2.5,"97.5% zinc, 2.5% copper plating",plain,LIBERTY / IN GOD WE TRUST / 1982,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,medium,,IMG_1208_p01.jpg,annotated/IMG_1208.jpeg,p01,,,,
Pile p02,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,"Digits ambiguous - looks like the 1970s (possibly 1971 or 1977), not confident enough to record a specific year.",IMG_1208_p02.jpg,annotated/IMG_1208.jpeg,p02,,,,
Pile p03,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1971,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1971,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,medium,,IMG_1208_p03.jpg,annotated/IMG_1208.jpeg,p03,,,,
Pile p04,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1976,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1976,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,medium,,IMG_1208_p04.jpg,annotated/IMG_1208.jpeg,p04,,,,
Pile p05,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1974,D,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1974,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,high,,IMG_1208_p05.jpg,annotated/IMG_1208.jpeg,p05,,,,
Pile p06,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,"Dark and worn, date not legible.",IMG_1208_p06.jpg,annotated/IMG_1208.jpeg,p06,,,,
Pile p07,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,Date not legible in this crop.,IMG_1208_p07.jpg,annotated/IMG_1208.jpeg,p07,,,,
Pile p08,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1982,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1982,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,medium,,IMG_1208_p08.jpg,annotated/IMG_1208.jpeg,p08,,,,
Pile p09,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1974,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1974,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,medium,,IMG_1208_p09.jpg,annotated/IMG_1208.jpeg,p09,,,,
Pile p10,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,"Digits are ambiguous between a 1970s date and ""1944"" - if it's actually 1944 this would be a wheat cent (check the reverse for wheat ears). Worth a physical look rather than assuming either reading.",IMG_1208_p10.jpg,annotated/IMG_1208.jpeg,p10,,,,
Pile p11,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,"Dark, date not legible.",IMG_1208_p11.jpg,annotated/IMG_1208.jpeg,p11,,,,
Pile p12,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,,not legible in photo,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / date not legible,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,low,Only a sliver of this coin is visible in-frame; date not legible.,IMG_1208_p12.jpg,annotated/IMG_1208.jpeg,p12,,,,
Pile p13,"IMG_1208, IMG_1212",Circulating Cent,1 cent,USA,1974,D,Lincoln Memorial cent,19.05,3.11,"95% copper, 5% zinc (bronze)",plain,LIBERTY / IN GOD WE TRUST / 1974,not the focus of this crop (obverse-up),From the ~20-coin scattered (non-grid) pile photographed in IMG_1208 (also re-photographed at the same angle in IMG_1212 - not re-boxed there since it's the same physical pile),1,0.01,0.25,Face value for common-date memorial cents; no wheat cents confirmed in this particular pile,medium,,IMG_1208_p13.jpg,annotated/IMG_1208.jpeg,p13,,,,
